category_name;root_category_name;foreign_key_sql
;;
Mens Slim Fit Jeans;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Jeans;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Golf Shirts;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Cooling Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Leggings;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Pajama Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bed Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Baby Girls Casual Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Character Shop;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Toddler Bedding Sets & Sheets;Baby;(SELECT uuid FROM category WHERE root_category_name='Baby')
Womens Tank Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Movies and TV Tees;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Girls Dress Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Denim Dressing;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Plus Size Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Athletic Shorts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Blouses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Booties;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Baby Boys Casual Outfit Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Work Uniforms;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Oxfords Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens White Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Denim Shorts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Fabric Tablecloths;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Pajamas and Robes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Work Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Plus Size Tshirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Graphic Tees;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Football Pants;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Plus Size Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Pullover Sweaters;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Stickers;Arts Crafts & Sewing;(SELECT uuid FROM category WHERE root_category_name='Arts Crafts & Sewing')
NFL Flags;Patio & Garden;(SELECT uuid FROM category WHERE root_category_name='Patio & Garden')
Toddler Dress Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Boys Outfit Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens One-piece Swimsuits;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Girls Coats and Jackets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Cars & SUV Toys;Toys;(SELECT uuid FROM category WHERE root_category_name='Toys')
All Area Rugs;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Swimsuit Bottoms;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Toddler Girls One-piece Swimsuits;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Wedge Heels;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Sweaters;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Slides;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Princess Baby & Toddler Costumes;Party & Occasions;(SELECT uuid FROM category WHERE root_category_name='Party & Occasions')
Boys Athletic Shorts and Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Hoodies;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
High Heels;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Workwear Blouses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Plus Size Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Flat Sandals;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Toddler Girls Casual Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mini Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Cardigans and Zip-up Sweaters;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Tennis Skirts;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Mens Workout Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Plus Size Jeans;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Big and Tall Pajama Bottoms;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Activewear;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Frozen Sandwiches;Food;(SELECT uuid FROM category WHERE root_category_name='Food')
Womens Skirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Plus Swimsuits;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Wolverine Boots;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bed Skirts;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Casual Button Down Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
King Duvet Covers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Cargo Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Hiking Pants;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Mens T-Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bathroom Rugs;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Pillowcases;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Hanes Mens T-Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Plus Skirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Tshirts for Women;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Couch Covers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Shop Curtains;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Slippers;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Fruit of the Loom Mens T-Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Beach Towels;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Propane Gas Grills;Patio & Garden;(SELECT uuid FROM category WHERE root_category_name='Patio & Garden')
Aftershaves;Personal Care;(SELECT uuid FROM category WHERE root_category_name='Personal Care')
Ballet Flats;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
All Cat Feeders, Fountains, and Bowls;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
Fitted Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Two Piece Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Jessica London;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Shoelaces;Household Essentials;(SELECT uuid FROM category WHERE root_category_name='Household Essentials')
All Baseball Gear & Equipments;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Shop all Snack Bars;Food;(SELECT uuid FROM category WHERE root_category_name='Food')
Cardigans for Women;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bikinis;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Maybelline Lip Makeup;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Mens Polo Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Shop All Patio Furniture;Patio & Garden;(SELECT uuid FROM category WHERE root_category_name='Patio & Garden')
Mens Multivitamins;Health and Medicine;(SELECT uuid FROM category WHERE root_category_name='Health and Medicine')
Conditioning Hair Color;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Womens Flip Flops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Dress Boots;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Orthopedic Dog Beds;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
Slipcovers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Big and Tall Graphic Tees;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Boys Athletic Shirts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Young Adult Swimsuits;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
All Runner Rugs;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Boots;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Shop Bedding;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Casual Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Look Good While Working Out;Health and Medicine;(SELECT uuid FROM category WHERE root_category_name='Health and Medicine')
Flat Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Workout Clothing;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Microfiber Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Nightshirts & Gowns;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Red Hair Dye;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Kids Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
High School Supplies;Seasonal;(SELECT uuid FROM category WHERE root_category_name='Seasonal')
Comforter Sets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
All Cat Food;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
Block Heels;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Duvet Cover Sets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Swimsuit Cover-ups;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bathroom Rugs & Bath Mats;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Stilettos;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Cycling Pants;Sports & Outdoors;(SELECT uuid FROM category WHERE root_category_name='Sports & Outdoors')
Sheet Sets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Plus Size Pajama Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
NYX Professional Eye Makeup;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Colored Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Sneakers;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
All Cat Treats;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
Kids Cereal;Food;(SELECT uuid FROM category WHERE root_category_name='Food')
Briefs;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Thermal Underwear;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mattress Toppers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Down Alternative Comforters;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Dr Teals Bubble Bath;Personal Care;(SELECT uuid FROM category WHERE root_category_name='Personal Care')
Shop All Bar Stools & Counter Stools;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Plus Size Activewear;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Swimwear;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
All Toothpaste;Personal Care;(SELECT uuid FROM category WHERE root_category_name='Personal Care')
Maternity Shorts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Baby Girls Clothing;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Gender Neutral Newborn Baby Clothing;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bath Towels;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Workout Leggings;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Table Runners;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Safety Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Plus Shorts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Extracts & Flavoring;Food;(SELECT uuid FROM category WHERE root_category_name='Food')
All Vitamins & Supplements;Health and Medicine;(SELECT uuid FROM category WHERE root_category_name='Health and Medicine')
Mens Rings;Jewelry;(SELECT uuid FROM category WHERE root_category_name='Jewelry')
Plus Size Tunic Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Pate Wet Cat Food;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
All Powdered Drink Mix;Food;(SELECT uuid FROM category WHERE root_category_name='Food')
Heating Mattress toppers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Quilts;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Cotton Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Wedding Tablecloths;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Mens Jewelry;Jewelry;(SELECT uuid FROM category WHERE root_category_name='Jewelry')
Boy Shorts;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Whipped Toppings;Food;(SELECT uuid FROM category WHERE root_category_name='Food')
Mens Workout Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Boys Rash Guards and Swimsuit Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
White Headboards;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Kids Multi Packs;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Pillow Top Mattress Toppers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Young Adult Sweatshirts & Hoodies;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Toddler Girls Outfit Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Baby Snack Foods;Baby;(SELECT uuid FROM category WHERE root_category_name='Baby')
Womens Ankle Socks;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Premium Hair Color;Premium Beauty;(SELECT uuid FROM category WHERE root_category_name='Premium Beauty')
Platform Beds;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Girls Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Sweatpants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Halloween Themed Clothing;Party & Occasions;(SELECT uuid FROM category WHERE root_category_name='Party & Occasions')
Gemstone Engagement Rings;Jewelry;(SELECT uuid FROM category WHERE root_category_name='Jewelry')
Wedges;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Bedding Sets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Plus Size T-Shirt Bras;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Briefs;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Wide Leg Pants;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Scrub Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Lipstick;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Painters Tape;Home Improvement;(SELECT uuid FROM category WHERE root_category_name='Home Improvement')
Cologne for Men;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
3 Piece Patio Dining Set;Patio & Garden;(SELECT uuid FROM category WHERE root_category_name='Patio & Garden')
Bralettes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Boys Slip-ons;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Young Adult Clothing;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Multivitamins;Health and Medicine;(SELECT uuid FROM category WHERE root_category_name='Health and Medicine')
Boys Sandals;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Room Darkening Curtains;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Rings;Jewelry;(SELECT uuid FROM category WHERE root_category_name='Jewelry')
Mens Hiking Sandals;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
All Conditioner;Beauty;(SELECT uuid FROM category WHERE root_category_name='Beauty')
Young Adult Dresses;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Turtleneck Sweaters;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Baby Itching & Rash Treatments;Baby;(SELECT uuid FROM category WHERE root_category_name='Baby')
Pillow Shams;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
All American Crew;Premium Beauty;(SELECT uuid FROM category WHERE root_category_name='Premium Beauty')
Womens Workout Bottoms;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Dietary supplements;Health and Medicine;(SELECT uuid FROM category WHERE root_category_name='Health and Medicine')
Wireless Bras;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Plus Thermal Sets;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Slide Slippers;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
All Kids Costumes & Dress-Up;Toys;(SELECT uuid FROM category WHERE root_category_name='Toys')
Workout Tank Tops;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Mens Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Girls Rompers;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
White Sheets;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Bed In A Bag;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Womens Casual Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Jockey Underwear;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Underwire Bras;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Womens Sandals;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
Duvet Covers;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Picture Frames Shop All;Home;(SELECT uuid FROM category WHERE root_category_name='Home')
Water Shoes;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
MaryRuth Organics;Health and Medicine;(SELECT uuid FROM category WHERE root_category_name='Health and Medicine')
Rawhides;Pets;(SELECT uuid FROM category WHERE root_category_name='Pets')
Plus Size Underwire Bras;Clothing;(SELECT uuid FROM category WHERE root_category_name='Clothing')
